gene_id,CLIP-35L33G,RNA-control,RNA-siLin28a,RNA-siLuc,RPF-siLin28a,RPF-siLuc
ENSMUSG00000102693.2|4933401J01Rik,1,0,0,0,0,0
ENSMUSG00000102348.2|Gm10568,1,0,1,0,0,0
ENSMUSG00000102592.2|Gm38385,2,0,0,1,0,0
ENSMUSG00000102269.2|Gm7357,0,41,163,92,24,46
ENSMUSG00000025902.14|Sox17,1,0,5,3,1,1
ENSMUSG00000104238.2|Gm37587,1,0,0,0,0,0
MSTRG.16|U6,18,1,1,1,1,2
MSTRG.15,24,8,15,14,2,2
ENSMUSG00000104328.2|Gm37323,0,0,0,0,0,0
MSTRG.17,38,16,30,26,1,1
MSTRG.18|Gm7369,9,2,5,7,7,15
ENSMUSG00000051951.6|Xkr4,0,0,1,1,0,0
ENSMUSG00000102851.2|Gm18956,0,0,0,0,0,0
ENSMUSG00000103377.2|Gm37180,0,0,0,1,0,0
ENSMUSG00000104017.2|Gm37363,0,0,0,0,0,0
ENSMUSG00000103025.2|Gm37686,0,1,0,0,0,0
ENSMUSG00000089699.2|Gm1992,0,0,0,0,0,0
ENSMUSG00000103147.2|Gm7341,0,1,2,3,3,3
ENSMUSG00000103201.2|Gm37329,2,0,1,0,1,1
ENSMUSG00000103161.2|Gm38148,11,1,10,13,1,1
ENSMUSG00000102331.2|Gm19938,2,0,1,1,0,0
MSTRG.14|Gm37381,0,0,126,0,0,0
ENSMUSG00000025900.14|Rp1,0,0,0,0,0,0
ENSMUSG00000102948.2|Gm6101,0,0,0,0,0,0
ENSMUSG00000104123.2|Gm37483,0,0,0,0,0,0
MSTRG.22|Mrpl15,2142,774,1802,1588,788,1364
MSTRG.19|Gm6085,57,21,81,62,15,42
ENSMUSG00000102175.2|Gm6119,5,2,2,3,2,2
ENSMUSG00002075947.1|U6,1,0,0,0,0,0
MSTRG.20|Gm2053,1,2,2,0,4,4
MSTRG.21|Gm6123,314,86,294,263,182,227
MSTRG.23|Gm37144,9,9,27,14,1,1
MSTRG.26,0,0,0,21,0,0
MSTRG.26|Lypla1,1446,476,1184,1054,363,454
MSTRG.26|Gm37988,52,0,0,0,0,0
MSTRG.26|Tcea1,1418,658,1875,2087,339,649
MSTRG.27|Gm6104,31,6,19,22,6,11
ENSMUSG00000104352.2|Gm7182,0,0,0,0,0,0
MSTRG.24|Gm37567,233,52,211,220,14,15
MSTRG.25,24,9,17,16,2,2
ENSMUSG00000102907.2|Gm38264,6,0,2,0,0,0
MSTRG.33|Rgs20,0,0,0,0,2,1
MSTRG.36|Gm16041,0,0,12,13,0,0
MSTRG.38|Atp6v1h,456,255,428,482,246,467
ENSMUSG00000103280.2|Gm37277,1,0,0,1,0,0
MSTRG.34|Gm17100,1,0,0,0,4,1
MSTRG.35|Gm37079,7,1,0,0,1,1
MSTRG.37|Gm17101,8,0,0,0,1,1
MSTRG.38,121,6,299,130,6,6
MSTRG.39,15,0,1,2,0,0
ENSMUSG00000025905.15|Oprk1,18,1,7,2,4,1
ENSMUSG00002076544.1|ENSMUSG00002076544,0,0,0,0,0,0
ENSMUSG00000103936.2|Gm36965,1,0,0,0,0,1
ENSMUSG00000103519.2|Gm37429,1,1,1,1,1,1
ENSMUSG00000033774.5|Npbwr1,1,1,2,1,1,0
MSTRG.29|Alkal1,0,0,1,0,1,1
MSTRG.30|Gm2147,4,1,2,2,2,1
MSTRG.31|Gm7417,3,2,2,1,3,3
MSTRG.51|Rb1cc1,853,135,424,552,69,130
MSTRG.52|4732440D04Rik,8,6,12,16,5,3
MSTRG.53,1,1,5,4,3,2
MSTRG.28|Gm7449,10,0,2,2,1,2
MSTRG.32|Gm37108,183,101,351,184,377,507
ENSMUSG00000102534.2|Gm37225,0,0,0,0,1,1
ENSMUSG00000102213.2|Gm37489,0,0,0,0,0,1
ENSMUSG00000103629.2|Gm5694,0,0,0,0,0,0
ENSMUSG00000103845.2|Gm19026,0,0,48,34,0,20
ENSMUSG00000033740.18|St18,0,0,0,0,0,0
ENSMUSG00000103709.2|Nras-ps2,2,0,0,0,0,0
MSTRG.46,0,53,0,31,2,13
MSTRG.46|Pcmtd1,1740,225,1358,1011,89,47
MSTRG.47|Gm26983,111,29,192,203,143,186
MSTRG.48|Gm38372,94,104,179,175,10,18
MSTRG.40|Gm9826,403,316,812,648,220,525
ENSMUSG00000097797.7|Gm26901,41,1,30,45,2,4
ENSMUSG00000077244.3|Gm23274,0,0,0,0,0,0
ENSMUSG00000102768.2|Gm19002,0,0,0,0,0,0
MSTRG.41,68,10,34,44,1,2
MSTRG.42|Rps2-ps2,11,100,68,36,29,42
ENSMUSG00000103498.2|Gm18984,0,0,0,0,0,0
MSTRG.45,0,76,5,3,0,0
MSTRG.43|Gm30414,0,14,25,30,0,0
ENSMUSG00000102320.2|Gm37791,0,0,0,0,0,0
MSTRG.43,25,0,0,0,0,0
MSTRG.44,1,18,0,0,0,0
ENSMUSG00000104226.2|Gm7470,5,0,1,3,0,1
MSTRG.76|Mybl1,309,71,242,217,0,0
MSTRG.76,0,0,0,22,0,0
MSTRG.75|1700034P13Rik,0,6,45,22,9,15
MSTRG.74|Vcpip1,673,227,721,685,120,215
MSTRG.58|Sntg1,9,0,4,1,0,0
MSTRG.62|ENSMUSG00002074990,0,0,0,0,0,0
MSTRG.67|Gm6152,0,0,0,1,1,1
MSTRG.68|Gm7445,0,0,0,0,1,1
MSTRG.72|Gm38008,0,0,0,0,0,0
MSTRG.73|Gm37143,0,0,0,0,0,0
MSTRG.59|Gm38024,5,4,6,4,0,0
MSTRG.60|Gm16284,2,1,5,3,1,1
MSTRG.61|Gm38259,1,1,1,1,0,0
MSTRG.63|Gm37005,1,1,0,1,0,0
MSTRG.64|Gm15452,67,47,120,123,106,146
MSTRG.65|Gm36964,58,332,650,519,237,471
MSTRG.66|ENSMUSG00002075967,15,4,2,1,0,0
MSTRG.69,20,7,30,30,19,24
MSTRG.70|Gm7493,70,29,54,77,88,89
MSTRG.71|Gm37629,1,0,0,0,0,0
MSTRG.49|Gm6187,0,0,0,0,0,66
ENSMUSG00000104428.2|Gm18299,0,0,1,0,1,1
ENSMUSG00000102272.2|Gm7512,0,0,0,0,1,4
ENSMUSG00000065625.3|Gm24765,0,0,0,0,0,0
ENSMUSG00000103411.2|Gm18300,0,0,0,0,0,0
MSTRG.54|Adhfe1,7,0,41,20,11,8
MSTRG.55|2610203C22Rik,0,0,0,0,0,0
ENSMUSG00000099827.2|Gm29520,0,0,0,0,0,0
MSTRG.50|Rrs1,421,236,939,718,230,413
MSTRG.56|Gm6161,403,121,547,642,107,288
MSTRG.57|Vxn,1,1,0,1,0,0
MSTRG.83|Sgk3,110,39,134,141,13,26
MSTRG.85|U6,0,0,0,0,0,0
MSTRG.84|Gm6195,36,4,52,49,64,45
MSTRG.81|Mcmdc2,0,0,0,0,0,0
MSTRG.82|Snhg6,594,125,448,373,114,143
MSTRG.82|Snord87,389,8,9,10,2,1
MSTRG.79|Ppp1r42,0,0,0,0,0,0
MSTRG.80|Gm15818,0,0,0,0,0,0
ENSMUSG00000119658.1|U6,0,0,0,0,0,0
MSTRG.112|Cops5,511,479,1009,937,289,606
MSTRG.113|Cspp1,1070,219,739,641,173,262
MSTRG.113,0,0,0,0,0,0
MSTRG.77|Tcf24,95,30,81,80,22,16
MSTRG.78|E330040D14Rik,1,1,2,0,4,5
MSTRG.114|1700047N06Rik,2,0,3,2,0,0
MSTRG.108|Arfgef1,1792,244,910,884,165,149
MSTRG.108,0,0,158,0,3,0
MSTRG.109|7SK,0,1,2,0,0,0
MSTRG.110,0,11,0,0,0,0
MSTRG.108|Gm37569,3,1,2,2,0,0
MSTRG.87|Cpa6,70,6,18,16,2,1
MSTRG.90|U6,0,0,0,0,0,0
MSTRG.91|Gm15603,0,4,4,3,6,5
MSTRG.88|Gm38005,14,1,7,2,1,1
MSTRG.89|Gm15604,65,6,48,24,48,124
MSTRG.93|Gm7560,20,14,76,55,81,114
MSTRG.94|U6,11,1,1,1,1,1
ENSMUSG00000098163.2|Gm6216,4,1,1,1,1,1
ENSMUSG00002076499.1|SNORA66,0,0,0,0,0,0
MSTRG.96|Prex2,412,109,761,876,15,17
MSTRG.97|Gm24173,0,0,0,0,0,0
MSTRG.86|Gm28659,22,30,98,59,39,53
MSTRG.98|Gm28686,8,15,15,7,6,16
MSTRG.95|Gm2383,7,41,77,47,18,47
MSTRG.104|Gm29663,0,0,0,0,0,0
MSTRG.103|Gm17644,50,10,41,25,16,17
ENSMUSG00000104518.2|Gm37162,4,0,0,0,0,0
MSTRG.92,0,13,11,0,9,13
MSTRG.99|A830018L16Rik,56,11,96,41,12,11
ENSMUSG00000103494.2|Gm37410,13,0,4,1,1,1
MSTRG.100|Gm38178,15,4,8,5,1,1
MSTRG.101|Gm29273,1,0,0,0,1,1
MSTRG.102|Gm38069,2,1,1,1,1,1
MSTRG.105|Gm5250,112,19,214,152,539,386
ENSMUSG00000099498.2|Gm29283,0,0,0,0,0,0
MSTRG.107|Prdm14,0,74,399,234,51,61
MSTRG.107,0,1,1,0,0,0
MSTRG.115|Sulf1,1198,336,536,535,770,793
MSTRG.115,0,0,0,0,0,9
MSTRG.106|Slco5a1,0,41,93,0,15,13
MSTRG.106,0,0,0,0,0,0
ENSMUSG00000101476.2|Gm29570,0,0,0,0,0,0
MSTRG.111|Gm7593,24,5,21,20,21,27
MSTRG.116|Tram1,897,208,520,489,494,409
MSTRG.124|Ncoa2,357,296,1367,654,282,301
MSTRG.126|Gm37409,0,2,2,2,0,0
MSTRG.127|ENSMUSG00002076346,0,0,3,0,0,0
MSTRG.128|Gm38223,0,2,2,0,0,0
MSTRG.130|Gm23169,0,0,0,0,0,0
MSTRG.125|Gm38376,4,2,21,10,3,6
MSTRG.129|Gm37702,7,1,7,7,1,1
MSTRG.131|Gm38120,20,8,29,17,4,4
MSTRG.132|Gm38380,12,20,41,31,6,14
MSTRG.119|Lactb2,863,305,815,1014,164,391
ENSMUSG00000067813.4|Xkr9,0,0,0,0,0,0
MSTRG.120|Gm38319,9,7,20,26,1,1
ENSMUSG00000104209.2|Gm37400,4,0,1,1,0,0
ENSMUSG00000077368.3|Gm26273,0,0,0,0,0,0
MSTRG.118,83,16,82,70,1,2
MSTRG.117|Gm5523,17,98,192,116,40,101
ENSMUSG00000103492.2|Gm37412,3,2,4,2,1,1
MSTRG.121|Gm9947,17,2,5,7,13,13
MSTRG.122|Msc,24,59,166,109,51,56
MSTRG.123|Smt3h2-ps4,311,44,111,177,95,146
MSTRG.136|Eya1,1,32,41,79,12,17
MSTRG.137|ENSMUSG00002075819,0,0,0,0,0,0
MSTRG.138|Gm37444,1,1,0,1,0,0
MSTRG.135|Rpl5-ps1,895,549,1553,1475,255,523
MSTRG.139|Trpa1,0,0,0,0,21,21
ENSMUSG00000088159.3|Gm26345,0,0,0,0,0,0
MSTRG.133|Gm10566,50,196,416,239,71,178
ENSMUSG00000092083.5|Kcnb2,1,1,4,1,1,1
ENSMUSG00000102937.2|Gm38116,0,0,1,0,0,0
ENSMUSG00000088829.3|Gm25227,0,0,0,0,0,0
ENSMUSG00000104149.2|Gm37138,16,7,19,11,1,1
ENSMUSG00000077377.3|Gm25168,0,0,0,0,0,0
ENSMUSG00000101652.2|Gm6060,0,0,0,0,0,0
MSTRG.141,0,0,0,173,0,0
MSTRG.141|Terf1,1880,541,1762,1550,555,674
MSTRG.134|Gm28669,7,0,4,3,20,42
ENSMUSG00000032719.5|Sbspon,0,4,0,0,0,0
ENSMUSG00002076565.1|7SK,0,0,0,0,0,0
ENSMUSG00000104379.2|Gm37509,27,9,15,17,0,0
ENSMUSG00000067795.14|4930444P10Rik,0,0,0,0,0,0
MSTRG.142|Rdh10,64,35,50,31,0,0
MSTRG.140|Gm7634,22,2,1,3,4,8
MSTRG.143|Rpl7,2827,3552,6392,5375,1373,2677
MSTRG.150|Gm28095,0,0,0,0,0,0
MSTRG.151|Stau2,0,26,109,89,0,25
MSTRG.152|Gm7568,0,0,0,0,0,0
MSTRG.155|Gm5828,18,39,57,43,63,111
ENSMUSG00000099899.2|Gm28784,0,0,0,0,0,0
MSTRG.144|Ube2w,173,69,176,135,54,67
MSTRG.145|Gm38342,0,2,2,1,1,2
MSTRG.148|Eloc,409,239,501,560,533,651
MSTRG.149|Tmem70,289,68,172,209,161,150
MSTRG.153|Ly96,0,0,0,0,9,12
ENSMUSG00000097744.2|D030040B21Rik,10,0,0,0,0,0
MSTRG.146|Idi1-ps5,1,1,5,5,4,6
ENSMUSG00000025777.9|Gdap1,1,0,1,1,0,0
MSTRG.160|Gm5251,14,3,13,11,5,13
MSTRG.161|Rbm6-ps1,48,26,72,63,9,16
MSTRG.156|Gm28376,0,0,0,0,0,0
MSTRG.158|Jph1,0,0,108,41,0,0
MSTRG.157|4921511E07Rik,1,0,0,0,0,0
MSTRG.154|Gm6075,28,58,100,71,239,351
ENSMUSG00000067780.4|Pi15,0,0,0,0,0,0
ENSMUSG00000100053.2|Gm28154,0,0,0,0,0,0
MSTRG.159,54,6,34,46,2,3
MSTRG.162|Gm16070,10,2,6,3,3,5
MSTRG.164|Crispld1,0,10,0,0,0,0
MSTRG.165|Gm28153,0,0,0,0,0,0
MSTRG.163,136,19,82,87,3,4
ENSMUSG00000073735.2|Defb18,0,0,0,0,0,0
MSTRG.166|Defb41,0,0,0,0,0,0
MSTRG.167|Gm17837,224,4,93,76,16,58
ENSMUSG00000099473.2|Gm18775,0,0,0,0,0,0
ENSMUSG00000099591.2|Gm17969,0,0,0,0,0,0
ENSMUSG00000109887.2|Gm28756,41,7,16,19,0,1
ENSMUSG00000102001.2|Gm28755,0,0,0,0,0,0
ENSMUSG00000101717.3|Gm45784,0,0,0,0,0,0
ENSMUSG00000100554.2|Gm7690,11,1,6,3,7,10
MSTRG.168|Gm5252,3,5,8,3,7,13
ENSMUSG00000101117.2|Gm28341,5,1,0,1,1,2
ENSMUSG00000025927.14|Tfap2b,0,0,0,0,0,0
ENSMUSG00000102597.2|Gm38382,6,0,0,0,0,0
MSTRG.169|Gm4849,193,79,268,284,158,243
MSTRG.170|Gm15825,0,0,0,0,0,0
MSTRG.171|Tfap2d,0,0,0,0,0,0
ENSMUSG00000099433.2|Gm28344,1,0,1,0,1,1
MSTRG.172|Gm10075,27,15,22,29,13,34
ENSMUSG00000099906.3|Gm28653,1,0,1,1,1,1
ENSMUSG00000065559.3|Mir206,0,0,0,0,0,0
ENSMUSG00000065480.3|Mir133b,0,0,0,0,0,0
MSTRG.187|Tmem14a,0,0,42,0,23,16
MSTRG.179|4930486I03Rik,0,0,0,0,0,0
MSTRG.177|Pkhd1,5,2,7,5,1,2
MSTRG.178|Gm37315,34,8,12,13,1,1
MSTRG.180|Gm15795,31,17,27,24,13,22
MSTRG.181|Gm24162,1,1,1,1,1,1
MSTRG.182|Gm38224,44,19,51,50,4,8
ENSMUSG00000041722.8|Khdc1c,0,0,0,0,0,0
MSTRG.188|Gsta3,40,26,88,66,29,29
MSTRG.189|Gm28836,0,0,0,0,0,0
ENSMUSG00000096375.3|Gm7094,0,0,0,0,0,0
ENSMUSG00000025936.16|Gm4956,0,0,0,0,0,0
ENSMUSG00000041872.10|Il17f,0,0,0,5,0,7
MSTRG.185|Mcm3,1682,2699,7358,6339,591,1592
ENSMUSG00000102121.2|Gm28065,0,0,0,0,0,0
ENSMUSG00000088858.3|Gm24723,0,0,0,0,0,0
ENSMUSG00000097934.2|6720483E21Rik,0,0,0,0,0,0
MSTRG.176|Gm24171,0,0,0,0,0,0
MSTRG.175|Paqr8,239,34,160,83,123,59
ENSMUSG00000100929.2|Gm28064,0,0,0,0,0,0
MSTRG.174|Efhc1,0,0,24,0,0,0
MSTRG.183|Tram2,94,55,0,37,65,41
MSTRG.184,0,1,11,2,7,6
MSTRG.173|Gm20587,63,0,0,1,18,41
ENSMUSG00000100418.2|Gm28239,2,0,0,0,0,0
ENSMUSG00000101468.2|Gm7761,0,0,0,0,0,0
MSTRG.194|Mir30a,2,0,0,0,2,2
MSTRG.195|Gm27028,0,1,4,1,0,0
MSTRG.195|Mir30c-2,3,1,2,0,1,1
